sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.467905 -0.051622, R -0.379504 -0.011991, YSP 8.698579 12.746287
sp -0.478399 -0.050713, R -0.379504 -0.011991, YSP 8.698579 22.192682
sp -0.478399 -0.050713, R -0.379504 -0.011991, YSP 8.698579 22.192682
sp -0.478399 -0.050713, R -0.379504 -0.011991, YSP 8.698579 22.192682
sp -0.478399 -0.050713, R -0.379504 -0.011991, YSP 8.698579 22.192682
sp -0.478399 -0.050713, R -0.388409 -0.013353, YSP 9.080071 22.192682
sp -0.478399 -0.050713, R -0.388409 -0.013353, YSP 9.080071 22.192682
sp -0.478399 -0.050713, R -0.388409 -0.013353, YSP 9.080071 22.192682
sp -0.478399 -0.050713, R -0.388409 -0.013353, YSP 9.080071 22.192682
sp -0.478399 -0.050713, R -0.388409 -0.013353, YSP 9.080071 22.192682
sp -0.478399 -0.050713, R -0.388409 -0.013353, YSP 9.080071 22.192682
sp -0.478399 -0.050713, R -0.388409 -0.013353, YSP 9.080071 22.192682
sp -0.478399 -0.050713, R -0.388409 -0.013353, YSP 9.080071 22.192682
sp -0.478399 -0.050713, R -0.388409 -0.013353, YSP 9.080071 22.192682
sp -0.478399 -0.050713, R -0.388409 -0.013353, YSP 9.080071 22.192682
sp -0.478399 -0.050713, R -0.388409 -0.013353, YSP 9.080071 22.192682
sp -0.478399 -0.050713, R -0.388409 -0.013353, YSP 9.080071 22.192682
sp -0.478399 -0.050713, R -0.388409 -0.013353, YSP 9.080071 22.192682
sp -0.478399 -0.050713, R -0.388409 -0.013353, YSP 9.080071 22.192682
sp -0.478399 -0.050713, R -0.388409 -0.013353, YSP 9.080071 22.192682
sp -0.478399 -0.050713, R -0.388409 -0.013353, YSP 9.080071 22.192682
sp -0.478399 -0.050713, R -0.388409 -0.013353, YSP 9.080071 22.192682
sp -0.523942 -0.070913, R -0.420008 -0.019118, YSP 12.356345 23.919687
sp -0.523942 -0.070913, R -0.420008 -0.019118, YSP 12.356345 23.919687
sp -0.523942 -0.070913, R -0.420008 -0.019118, YSP 12.356345 23.919687
sp -0.523942 -0.070913, R -0.420008 -0.019118, YSP 12.356345 23.919687
sp -0.523942 -0.070913, R -0.420008 -0.019118, YSP 12.356345 23.919687
sp -0.523942 -0.070913, R -0.420008 -0.019118, YSP 12.356345 23.919687
sp -0.523942 -0.070913, R -0.420008 -0.019118, YSP 12.356345 23.919687
sp -0.523942 -0.070913, R -0.420008 -0.019118, YSP 12.356345 23.919687
sp -0.523942 -0.070913, R -0.420008 -0.019118, YSP 12.356345 23.919687
sp -0.523942 -0.070913, R -0.420008 -0.019118, YSP 12.356345 23.919687
sp -0.523942 -0.070913, R -0.420008 -0.019118, YSP 12.356345 23.919687
sp -0.523942 -0.070913, R -0.420008 -0.019118, YSP 12.356345 23.919687
sp -0.523942 -0.070913, R -0.420008 -0.019118, YSP 12.356345 23.919687
